Unnamed: 0,번호,제목,저자,출판사,출판일
,57,Big data Preparing for the future of `smart water' and `big data',"Slawecki,  Tad; McMaster,  Cecil; Lodhi,  Mujib; Horvath,  Eric; Hornback,  Chris; Nakamura,  Brianne",WATER ENVIRONMENT FEDERATION,2016
,58,Big data doesn't mean big money!,"Sweeney, Patrick","THE PIERIAN PRESS, INC.",2021
,59,Big data in the big city,"Lido, Catherine",BRITISH PSYCHOLOGICAL SOC,2019
,60,"Data, Big Data, and Metadata in Anesthesiology","Levin, Matthew A.; Wanderer, Jonathan P.; Ehrenfeld, Jesse M.","Lippincott, Williams & Wilkins",2015
,61,"Data Capture, Labelling, ID and Coding Data capture - not just for the big end of town",unknown,REED BUSINESS INFORMATION,2002
,62,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
,63,Big Data in E&amp;P: Real-Time Adaptive Analytics and Data-Flow Architecture,"Brule, M.R.","Red Hook, NY; Curran Associates, Inc.",2013
,64,Big Data Meet Green Challenges: Big Data Toward Green Applications,"Wu, J.; Guo, S.; Li, J.; Zeng, D.",THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2016
,65,Big Data Meet Green Challenges: Greening Big Data,"Wu, J.; Guo, S.; Li, J.; Zeng, D.",THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2016
,66,BIG DATA Making better use of data offers numerous ways to add value to a company's activities,unknown,PHARMACEUTICAL MARKETING,2014
,67,Big Data Approaches to Phenotyping Acute Ischemic Stroke Using Automated Lesion Segmentation of Multi-Center Magnetic Resonance Imaging Data,"Wu, Ona; Winzeck, Stefan; Giese, Anne-Katrin; Hancock, Brandon L.; Etherton, Mark R.; Bouts, Mark J.R.J.; Donahue, Kathleen; Schirmer, Markus D.; Irie, Robert E.; Mocking, Steven J.T.; McIntosh, Elissa C.; Bezerra, Raquel; Kamnitsas, Konstantinos; Frid, P",American Heart Association; Lippincott Williams and Wilkins,2019
,68,Data analysis in health and big data: A machine learning medical diagnosis model based on patients' complaints,"Silahtaroğlu, Gökhan; Yılmaztürk, Nevin",Taylor & Francis,2021
,69,"Big Data Promises to Pay Big Dividends ...for SWD, Inc., a continuous-improvement-minded provider of metal-finishing and fastener-sorting services. New data-discovery and analysis software allows SWD management to unlock new pathways to improved performance, and serves as the foundation for its customer-communication strategy of the future",unknown,PRECISION METALFORMING,2015
,70,Big Cheese Needs Bigger Data Foremost Farms doubles production and adds data acquisition and historian functions to its SCADA/HMI system,unknown,PUTMAN PUBLICATIONS,2016
,71,Big data and natural disasters: New approaches for spatial and temporal massive data analysis,"Martínez–Álvarez, F.; Morales–Esteban, A.","Elsevier Science B.V., Amsterdam.",2019
,72,Big Data is a big deal but how much data do we need?,"Askitas, N.",Springer Science + Business Media,2016
,73,"Market-Data Metamorphosis A difficult economy is fueling big changes in the market-data space as end users want more cost effective, streamlined solutions and vendors are charting a new course to revitalize business",unknown,GRALLA PUBLICATIONS,2003
,74,"Data, data everywhere. Is Big Data more than just a myth or a marketing device. Here, various stakeholders from the public and private sectors discuss the concept - its positives and negatives",unknown,Hemming Information Services,2014
,75,"``Big data'' and device reprocessing among FDA's device science goals - FDA's device Center Science Council wants to leverage so-called big data and evidence from real-world clinical experience, improve reprocessing of reusable medical devices, and enhance use of health information technology and device cybersecurity, among other FY 2016 regulatory science goals",unknown,Elsevier Business Inteligence,2015
,76,"Big data, big opportunities","Laurance, W. F.; Achard, F.; Peedell, S.; Schmitt, S.",Ecology Society of America,2016
,77,Data encryption based blockchain and privacy preserving mechanisms towards big data,"Guo, Leiyong; Xie, Hui; Li, Yu","Elsevier Science B.V., Amsterdam",2020
,78,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,79,BIG IS BEST Big isn't always best in the world of data - Jay Inamdar explains more,unknown,INSTITUE OF CREDIT MANAGEMENT,2017
,80,Data-driven ICU management: Using Big Data and algorithms to improve outcomes,"Carra, Giorgia; Salluh, Jorge I.F.; da Silva Ramos, Fernando José; Meyfroidt, Geert","Elsevier Science B. V., Amsterdam",2020
,81,"Big Data, Big Research","Anoushiravani, A. A.; Patton, J.; Sayeed, Z.; El-Othmani, M. M.; Saleh, K. J.",Elsevier,2016
,82,Data Flow: Inexpensive third-party data and mathematical models now allow insurers to underwrite small and midsize commercial accounts as thoroughly as big risks and personal lines,unknown,AM BEST CO,2005
,83,Big data of the past: Analysis of historical freight shipping corridor data in the period 1662–1855,"Wiegmans, Bart; Witte, Patrick; Janic, Milan; de Jong, Tom",Elsevier Science B.V.Amsterdam,2020
,84,"Big Data In the second of three articles about L&amp;D and Big Data, Jonathan Kettleborough examines why L&amp;D has historically struggled to get the best out of the information it has",unknown,FENMAN LTD,2014
,85,Big data creates big opportunities: The promises and challenges of large veterinary health datasets,unknown,Elsevier Science B.V. Amsterdam,2019
,86,"Data, More Data, Big Data","de Koning,  Jos J.",HUMAN KINETICS,2017
,87,Big data analytics and big data science: a survey,"Chen, Yong; Chen, Hong; Gorkhali, Anjee; Lu, Yang; Ma, Yiqian; Li, Ling",Taylor & Francis,2016
,88,Big Data and Open Data are not closed topics,"Wilson, L.A.",MRS MATERIALS RESEARCH SOCIETY,2013
,89,"Big Data, Big Opportunities, and Big Challenges","Frelinger, Jeffrey A.",Springer Nature,2015
,90,"Big Data, Big Impact: The Potential for Data Science in Neurosurgery","Panesar, Sandip S.; Fernandez-Miranda, Juan","Elsevier Science B.V., Amsterdam",2020
,91,Big Data Processing With Minimal Delay and Guaranteed Data Resolution in Disaster Areas,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,92,Big data-based multimedia transcoding method and its application in multimedia data mining-based smart transportation and telemedicine,"Zhu, D.",Springer Science + Business Media,2016
,93,"Big data, big opportunities",unknown,BRITISH VETERINARY ASSOCIATION,2016
,94,Data-driven stochastic robust optimization: General computational framework and algorithm leveraging machine learning for optimization under uncertainty in the big data era,"Ning, Chao; You, Fengqi","Elsevier Science B.V., Amsterdam.",2018
,95,Big Brother's Little Helpers: How ChoicePoint and Other Commercial Data Brokers Collect and Package Your Data for Law Enforcement,"Hoofnagle, C. J.",NORTH CAROLINA JOURNAL OF INTERNATIONAL LAW,2004
,96,"Big Data Analytics, Big Financial Institutions, and Big Money Fraud Litigation","Debenham,  David",CARSWELL,2016
,97,Big Data in Practice: A Study on Cloud Data Collection and Storage Services,"Wang,  Chin-Wei; Chang,  Shuchih Ernest",IOS Press,2016
,98,Big data driven lithium-ion battery modeling method based on SDAE-ELM algorithm and data pre-processing technology,"Li, Shuangqi; He, Hongwen; Li, Jianwei","Elsevier Science B.V., Amsterdam.",2019
,99,"Big Data, Little Data, No Data: Scholarship in the Networked World","Greenberg, Jane",Taylor & Francis,2016
,100,Big Data The Data Revolution Here's what you need to know to get the edge Big Data and machine learning can offer your business,"Buss,  Dale",CHIEF EXECUTIVE GROUP L.P.,2016
,1,"Big data, big brother China uses social media to rate all citizens",unknown,IPC MAGAZINES LTD,2015
,2,"Big data, data science, and big contributions","Broome, M. E.","Elsevier Science B.V., Amsterdam",2016
,3,Big Ideas or Big Data? [President's Message],"Sayed, Ali H.",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2018
,4,"Big Universe, Big Data: Machine Learning and Image Analysis for Astronomy","Kremer, J.; Stensbo-Smidt, K.; Gieseke, F.; Pedersen, K. S.; Igel, C.",COMPUTER SOCIETY,2017
,5,"Big Data, Big Opportunities","Wrobel, S.; Voss, H.; Köhler, J.; Beyer, U.; Auer, S. r.",Springer Science + Business Media,2015
,6,Big Data in medical research and EU data protection law: challenges to the consent or anonymise approach,"Mostert, M.; Bredenoord, A. L.; Biesaart, M. C.; van Delden, J. J.",Nature Publishing Group,2016
,7,Big Data in medical research and EU data protection law: challenges to the consent or anonymise approach,"Mostert, M.; Bredenoord, A. L.; Biesaart, M. C.; van Delden, J. J.",Nature Publishing Group,2016
,8,Big data in IR: operator preferences for discrete data field templates,"Eifler, A.; Shah, R.; Hwang, G.; Hwang, W.; Arendt, V.; Hofmann, L.",ELSEVIER SCIENCE B.V. AMSTERDAM,2016
,9,Big Data: Progress or a Big Headache?,"Dhawan, A.; Brand, J.C.; Rossi, M.J.; Lubowitz, J.H.",unknown,2018
,10,Big Data and Bad Data: On the Sensitivity of Security Policy to Imperfect Information,"Graves,  James T.; Acquisti,  Alessandro; Christin,  Nicolas",The University of Chicago Press,2016
,11,Data on the move: Big improvement in data transmission between HQ and employees in the field,"Sammueller, R.",unknown,1996
,12,Data protection in a big data society. Ideas for a future regulation,"Mantelero, Alessandro; Vaciago, Giuseppe","Elsevier Science B. V., Amsterdam",2015
,13,"Big Data, Big Tech, and Protecting Patient Privacy","Cohen, I. G.; Mello, M. M.",AMA AMERICAN MEDICAL ASSOCIATION,2019
,14,Big Questions for “Big Data”,"Wears, R. L.; Williams, D. J.","Elsevier Science B.V., Amsterdam",2016
,15,Big Data — Big Chance für Controller?,"Schäffer, U.",Springer Science + Business Media,2016
,16,"Data, Big Data, and Metadata in Anesthesiology","Levin,  Matthew A.; Wanderer,  Jonathan P.; Ehrenfeld,  Jesse M.","Lippincott, Williams & Wilkins",2015
,17,Big Data Management Platforms: Architecting Heterogeneous Solutions,"Chandran, R.",The Data Warehouse Institute,2013
,18,"Big Data and Predictive Analytics and Manufacturing Performance: Integrating Institutional Theory, Resource‐Based View and Big Data Culture","Dubey, Rameshwar; Gunasekaran, Angappa; Childe, Stephen J.; Blome, Constantin; Papadopoulos, Thanos",John Wiley & Sons Ltd,2019
,19,Big data - real time fact-based decision: the next big thing in supply chain,"Rai, Sandhya",Inderscience,2019
,20,"Big data or big risk: general practitioner, practice nurse and practice manager attitudes to providing de-identified patient health data from electronic medical records to researchers","Monaghan, Timothy; Manski-Nankervis, Jo-Anne; Canaway, Rachel",CSIRO,2020
,21,Big data in radiation biology and epidemiology; an overview of the historical and contemporary landscape of data and biomaterial archives,"Schofield, Paul N.; Kulka, Ulrike; Tapio, Soile; Grosche, Bernd",Informa Healthcare,2019
,22,Big opportunities from big data,"Trim, H.",Editions,2014
,23,"Big Data and Its Role in Health Economics and Outcomes Research: A Collection of Perspectives on Data Sources, Measurement, and Analysis","Onukwugha, E.",Springer Science + Business Media,2016
,24,Big Heart Data: Advancing Health Informatics Through Data Sharing in Cardiovascular Imaging,"Suinesiaputra, A.; Medrano-Gracia, P.; Cowan, B. R.; Young, A. A.",IEEE,2015
,25,Big Data Analytics and Mining for Effective Visualization and Trends Forecasting of Crime Data,unknown,IEEE,2019
,26,Big Data and Predictive Analytics in Fire Risk Using Weather Data,"Agarwal, Puneet; Tang, Junlin; Narayanan, Adithya Narayanan Lakshmi; Zhuang, Jun",John Wiley & Sons Ltd,2020
,27,Big Data for Big Legal Research Questions: How Legal-Analytics Databases Allow Reference Law Librarians to Meet Increasing Demand for More Comprehensive Information at More Efficient Rates,"Masarek, Adam M.",Taylor & Francis,2019
,28,Big Data in Plant Science: Resources and Data Mining Tools for Plant Genomics and Proteomics,"Popescu,  George V.; Noutsos,  Christos; Popescu,  Sorina C.",HUMANA PRESS,2016
,29,"Big data analytics: An expert interview with Bipin Chadha, data scientist for United Services Automobile Association (USAA)","Swain, Ajaya K.",Taylor & Francis,2016
,30,"Big Data, Little Data, No Data: Scholarship in the Networked World by Christine L. Borgman. Cambridge, MA: MIT Press, 2015. 400 pp. $32 (hardcover). (ISBN 9780262028561).","Tenopir, C.",John Wiley & Sons Ltd,2016
,31,Big data or big brother? Rob Budden describes how banks are making more use of information to build up detailed profiles of their customers and to combat fraud,unknown,TOTAL PUBLISHING,2014
,32,"Data science, big data and granular mining","Pal, S. K.; Meher, S. K.; Skowron, A.","Elsevier Science B.V., Amsterdam.",2015
,33,Data warehouse and decision support on integrated crop big data,"Ngo, Vuong M.; Le-Khac, Nhien-An; Kechadi, M-Tahar",Inderscience,2021
,34,Big Data for a Big Problem: Precision Medicine of Stroke in Neurocritical Care,"Liebeskind, D.S.",unknown,2018
,35,"BIG DATA, BIG QUESTIONS The smart-city movement raises serious concerns about who controls the information","Marshall, A.",BELLEROPHON PUBLICATIONS INC,2014
,36,Big Data: Friend or Foe of Digital Advertising? Five Ways Marketers Should Use Digital Big Data to Their Advantage,"Fulgoni, G.",World Advertising Research Center,2013
,37,Big Data and Data Science in Critical Care,"Sanchez-Pinto, L. Nelson; Luo, Yuan; Churpek, Matthew M.","Elsevier Science B.V., Amsterdam",2018
,38,Big Data and medicine: a big deal?,"Mayer‐Schönberger, V.; Ingelsson, E.",John Wiley & Sons Ltd,2018
,39,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
,40,Data Prefetching and Eviction Mechanisms of In-Memory Storage Systems Based on Scheduling for Big Data Processing,unknown,"THE IEEE, INC.",2019
,41,Big data and false discovery: analyses of bibliometric indicators from large data sets,"Prathap, G.",Springer Science + Business Media,2014
,42,"Data by data, Big Data","Hackenberger, Branimir K.",MEDICINSKA NAKLADA,2019
,43,Big data for big pharma,"Festa, Giuseppe; Safraou, Imen; Cuomo, Maria Teresa; Solima, Ludovico",Emerald Group Publishing Limited,2018
,44,"Big Data, Big Challenges","Clancy, Thomas R.; Reed, Laura",Lippincott Williams & Wilkins,2016
,45,Data-Driven Decision Making in Precision Agriculture: The Rise of Big Data in Agricultural Systems,"Tantalaki, Nicoleta; Souravlas, Stavros; Roumeliotis, Manos",Taylor & Francis,2019
,46,Data analytics and big data in construction project and asset management,"Aibinu, Ajibade A.; Koch, Fernando; Ng, S. Thomas",Emerald,2019
,47,Big Data Strategy Approaches: Business-Driven or Discovery-Based?,"Williams, S.",The Data Warehouse Institute,2014
,48,Big Data Pays Off Big for Illinois Fabricator,unknown,PRECISION METALFORMING,2016
,49,Data Science and Prediction Big data promises automated actionable knowledge creation and predictive models for use by both humans and computers,"Dhar, V.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
,50,Big Trials or Big Data,"King, S. B.","ELSEVIER SCIENCE B. V., AMSTERDAM",2016
,51,Big Data in the Steel Industry: Data Science to Improve Pipe Design and Predict Pipes' Collapse Pressure,"Mesquita, Henrique Milagres; Resende, Raissa Maria Bergamini; Oliveira, Cadson; Salis, Turibio Tanus",Association for Iron and Steel Technology,2018
,52,Handling big dimensions in distributed data warehouses using the DWS technique,"Costa, M.; Madeira, H.","New York?:; Association for Computing Machinery,",2005
,53,"Big Warehouse, Big Decisions: There's more to purchasing storage for the large and very large data warehouse than just buying disk","Madsen, M.",DATABASE PROGRAMMING AND DESIGN,1998
,54,Big Data in the Big Easy: How Social Networks can Improve the Place for Young People in Cities,"Shirtcliff,  Ben",UNIVERSITY OF WISCONSIN PRESS,2015
,55,Big Data Research Requires a Big Role for Primary Care,"Mainous,  Arch G.; Phillips,  William R.",SOCIETY OF TEACHERS OF FAMILY MEDICINE,2016
,56,Data learning from big data,"Torrecilla, José L.; Romo, Juan","Elsevier Science B.V., Amsterdam.",2018
,57,Big Data How companies can ensure public confidence during the arrival of Big Data,unknown,BOUVERIE CONTRACT PUBLISHING LTD.,2015
,58,"Big Data, Big Challenges","Boland, M. V.","Elsevier Science B.V., Amsterdam.",2016
,59,Big Data and Big Numbers,"White, S. M.; Moppett, I. K.; Griffiths, R.",Blackwell Publishing Ltd,2014
,60,Big Benefit from Big Data: A Real-Time Data Product Creation and Distribution System,"Haderman, M.D.; Pasch, A.N.; Dye, T.S.; Chan, A.C.; Miller, D.S.; White, J.E.; Dickerson, P.G.",Kluwer Academic Publishers,2014
,61,Big Dilemma Is big data a threat or opportunity for finance?,"Panivko,  Igor",AFP,2015
,62,"Big Data Analytics, Data Science and the CIS [President's Message]","Yao, X.",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2015
,63,Big Data Management in Earth Observation: The German satellite data archive at the German Aerospace Center,"Kiemle, S.; Molch, K.; Schropp, S.; Weiland, N.; Mikusch, E.",IEEE,2016
,64,DATA RELATIONSHIP BUILDING Vendors and drug researchers put the logic of science to work in vetting big data,unknown,ACS AMERICAN CHEMICAL SOCIETY,2014
,65,BIG RESULTS WITH BIG DATA,unknown,BNP Publication,2019
,66,Big data analytics: transforming data to action,"Bumblauskas, Daniel; Nold, Herb; Bumblauskas, Paul; Igou, Amy",Emerald Group Publishing Limited,2017
,67,Big Opportunities and Big Concerns of Big Data in Education,"Wang, Y.",SPRINGER SCIENCE + BUSINESS MEDIA,2016
,68,Big Data access and infrastructure for modern biology: case studies in data repository utility,"Boles, N. C.; Stone, T.; Bergeron, C.; Kiehl, T. R.",John Wiley & Sons Ltd,2017
,69,Big Data-Based Improved Data Acquisition and Storage System for Designing Industrial Data Platform,unknown,IEEE,2019
,70,Big data and talent management: Using hard data to make the soft stuff easy,"Russell, C.; Bennett, N.","Elsevier Science B.V., Amsterdam.",2015
,71,Big Data and Its Utility in Social Work: Learning from the Big Data Revolution in Business and Healthcare,"Zetino, Jeffrey; Mendoza, Natasha",Taylor and Francis,2019
,72,Data-Driven Mary Hammon explains how to leverage the potential of big data-in Planning Practice,unknown,APA AMERICAN PLANNING ASSOCIATION,2015
,73,"Big data: analyse that In the first of a series, Katharine Bagshaw FCA examines the scope and use of data analytics in audit",unknown,INSTITUTE OF CHARTERED ACCOUNTANTS,2017
,74,Big data's big bias in drug safety,unknown,British Medical Association,2017
,75,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
,76,Big data solar power forecasting based on deep learning and multiple data sources,"Torres, José F.; Troncoso, Alicia; Koprinska, Irena; Wang, Zheng; Martínez‐Álvarez, Francisco",John Wiley & Sons Ltd,2019
,77,"Big data, big picture","Jarvis, Suzanne",BRITISH VETERINARY ASSOCIATION,2018
,78,Data Experience — Marktforschung in den Zeiten von Big Data,"Binder, J.; Weber, F.",Springer Science + Business Media,2015
,79,"Big Data, Little Data, No Data: Scholarship in the Networked World","Fu, Tao",Taylor & Francis,2017
,80,Big data! Big deal?,"Mackie, P.; Sim, F.; Johnman, C.","Elsevier Science B.V., Amsterdam",2015
,81,"Big Books, Big Data, and Reading Literary Histories","Ezell,  Margaret J. M.",Duke University Press,2017
,82,"Big Data Challenges Indexing Large-Volume, Heterogeneous EO Datasets for Effective Data Discovery","Waterfall,  A.; Bennett,  V.; Donegan,  S.",European Space Agency,2016
,83,"Big data, big opportunities",unknown,BRITISH VETERINARY ASSOCIATION,2016
,84,Big Fight for Big Data Tech giants vie for consumer information,unknown,BEIJING REVIEW,2017
,85,"Big Data, Little Data, No Data: Scholarship in the Networked World. By Christine L. Borgman","Lemieux,  Thomas Mayer",CANADIAN JOURNAL OF COMMUNICATION CORPORATION,2017
,86,Big Data: The Fourth Data Management Generation,"Watson, H.J.; Marjanovic, O.",The Data Warehouse Institute,2013
,87,"Data Science, Predictive Analytics, and Big Data in Supply Chain Management: Current State and Future Potential","Schoenherr, T.; Speier-Pero, C.",COUNCIL OF LOGISTICTS MANAGEMENT,2015
,88,"Big Data, Big Storage",unknown,CW COMMUNICATIONS INC.,2013
,89,Big data to knowledge: common pitfalls in transcriptomics data analysis and representation,"Abedi, Maryam; Fatehi, Razieh; Moradzadeh, Kobra; Gheisari, Yousof",LANDES BIOSCIENCE,2019
,90,Data use: Data-driven decision making takes a big-picture view of the needs of teachers and students,"Bernhardt, V.L.",NSDC NATIONAL STAFF DEVELOPMENT COUNCIL,2009
,91,Big Data and Big Money: The Role of Data in the Financial Sector,"Trelewicz, J. Q.",IEEE,2017
,92,"Big Blue now Big Green: IBM plan to cut data centre power consumption by 80 per cent sets example, say experts",unknown,VNU BUSINESS PUBLICATIONS,2007
,93,Big Deal In BI HP's fledgling data warehousing system gets a big lift from Wal-Mart in a competitive market,unknown,"CMP PUBLICATIONS, INC.",2007
,94,Data Flood — What the Navies Want from Big Data,"Friedman, Norman",BERNARD & GRAEFE VERLAG,2019
,95,"`Big data' approaches to trauma outcome prediction and autonomous resuscitation Shiming Yang, Mary Njoku and Colin F Mackenzie discuss how massive clinical data are used in learning prediction models at level 1 trauma centres to support decision making in trauma patients",unknown,Mark Allen Publishing,2014
,96,Big help with big data Large health systems like Mayo Clinic and Intermountain Health-care are turning to outside firms to boost their analytical capabilities,unknown,AMERICAN HOSPITAL PUBLISHING INC,2013
,97,Big data pre-processing methods with vehicle driving data using MapReduce techniques,"Cho, W.; Choi, E.",Springer Science + Business Media,2017
,98,Big Buildings and Big Data: Do Energy Disclosure Policies Impact Energy Use over Time?,"Papadopoulos,  Sokratis; Kontokosta,  Constantine E.",ASCE,2017
,99,Big Data for Healthcare and Life Sciences: Learning Useful Insights from Imperfect Data,"Hu,  Jianying; Shah,  Nigam; Malin,  Bradley; Ryan,  Patrick B.; Jain,  Anil",American Medical Informatics Association,2016
,100,Data science in education: big data and learning analytics,"Klašnja‐Milićević, Aleksandra; Ivanović, Mirjana; Budimac, Zoran","John Wiley & Sons, Ltd",2017
,1,Big Data - No Problem; Big Analysis in a Secure Environment - Problem,"Johnson,  Shawana; Dodd,  Earl J.",Currans Associate,2016
,2,Big Data In the third and final article of this series Jonathan Kettleborough highlights a number of emerging issues and potential pitfalls to be aware of when using Big Data,unknown,FENMAN LTD,2014
,3,BIG DATA AND BIG CITIES: THE PROMISES AND LIMITATIONS OF IMPROVED MEASURES OF URBAN LIFE,"Glaeser,  Edward L.; Kominers,  Scott Duke; Luca,  Michael; Naik,  Nikhil",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2015
,4,Big Data for Heat Treatment—How Data Analytics Can Contribute to Heat Treating Operations,"Frame,  L. D.; Vo,  B.; Abuzaghleh,  O.",ASM International,2017
,5,"Big Data, Big Deal","Verma,  Amit",ECONOMIC & POLITICAL WEEKLY,2017
,6,Big Data and Learning Analytics: A Big Potential to Improve e-Learning,Khalid Adam ; Noor Akma Abu Bakar ; Mohammed Adam Ibrahim Fakhreldin ; Mazlina Abdul Majid,American Scientific Publishers,2018
,7,"Data barns, ambient intelligence and cloud computing: the tacit epistemology and linguistic representation of Big Data","Portmess, L.; Tower, S.",Springer Science + Business Media,2015
,8,"Big data in telecommunication operators: data, platform and practices","Wang, Z.; Wei, G.; Zhan, Y.; Sun, Y.",Springer Science + Business Media,2017
,9,"Big Data, Big Rhetoric in Toronto's Smart City","Tierney, T. F.",Taylor & Francis,2019
,10,"Big Data Analytics, Big Financial Institutions, and Big Money Fraud Litigation","Debenham,  David",CARSWELL,2017
,11,Data Management based Big Data Technology for Implementing Remote Vehicle Diagnostic System,Lionel Nkenyereye; Jong-Wook Jang,International Information Institute,2016
,12,Big Data Quality Assurance Through Data Traceability: A Case Study of the National Standard Reference Data Program of Korea,unknown,IEEE,2019
,13,"Big data for big insights: Investigating language-specific drivers of hotel satisfaction with 412,784 user-generated reviews","Liu, Yong; Teichert, Thorsten; Rossi, Matti; Li, Hongxiu; Hu, Feng","Elsevier Science B.V., Amsterdam.",2017
,14,Big Data: Issues for an International Political Sociology of Data Practices1,"Madsen, A. K.; Flyverbom, M.; Hilbert, M.; Ruppert, E.",Oxford University Press,2016
,15,BIG DATA Early Building Blocks of the Learning Health System Fall into Place,unknown,"HEALTH DATA ANALYSIS, INC.",2015
,16,BIG DATA: NAVIGATING FEDERAL AIMS STATE PRIVACY LAWS What are the potential pitfalls of applying Big Data to healthcare? A legal expert at the law firm Foley &amp; Lardner offers advice for complying with federal and state privacy laws,"Habte, M.L.","HEALTH DATA ANALYSIS, INC.",2015
,17,"Big Business or Big Brother? With more companies tracking remote workers via employee monitoring technology, fears are growing that they may cross the line—and face serious reputation damage and costly fines for data privacy violations","Hodge, Neil",RISK MANAGEMENT SOC PUBLISHING INC,2020
,18,Big hopes for big data,unknown,Emerald Group Publishing Limited,2017
,19,"Big data, big metadata and quantitative study of science: A workflow model for big scientometrics","Bratt, S.; Hemsley, J.; Qin, J.; Costa, M.",John Wiley & Sons Ltd,2017
,20,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
,21,"Big Data, Served Fast: Oracle teams with Hewlett-Packard for a high-performance data warehouse appliance",unknown,"CMP PUBLICATIONS, INC.",2008
,22,"""Big Tigers, Big Data"": Learning Social Reactions to China's Anticorruption Campaign through Online Feedback","Zhu, Jiangnan; Huang, Huang; Zhang, Dong",Wiley-Blackwell,2019
,23,BIG DATA AND THE LEARNING HEALTH SYSTEM,"Raths,  David","HEALTH DATA ANALYSIS, INC.",2017
,24,Data envelopment analysis and big data,"Khezrimotlagh, Dariush; Zhu, Joe; Cook, Wade D.; Toloo, Mehdi","Elsevier Science B.V., Amsterdam.",2019
,25,Big Data Preliminary Analysis: A Framework for Easier Data Sharing and Discovery,Seong Eun Hong; Hwa Jong Kim; Kyung Jin Cha,International Information Institute,2018
,26,Data Privacy and Big Data-Compliance Issues and Considerations,"Yu, W.E.",Information Systems Audit and Control Association,2014
,27,"Big Data Is the current campaign concerning Big Data a pipe dream or can it unleash huge gains in turbine design, operations, maintenance and reliability?","Robb, D.",BUSINESS JOURNALS INC,2013
,28,Big Earth data: disruptive changes in Earth observation data management and analysis?,"Sudmanns, Martin; Tiede, Dirk; Lang, Stefan; Bergstedt, Helena; Trost, Georg; Augustin, Hannah; Baraldi, Andrea; Blaschke, Thomas",Taylor & Francis,2020
,29,"Big data: internal audit Liz Sandwith of the Chartered Institute of Internal Auditors, looks at how big data affects the internal audit process",unknown,INSTITUTE OF CHARTERED ACCOUNTANTS,2017
,30,Big Data and security policies: Towards a framework for regulating the phases of analytics and use of Big Data,"Broeders, Dennis; Schrijvers, Erik; van der Sloot, Bart; van Brakel, Rosamunde; de Hoog, Josta; Hirsch Ballin, Ernst","Elsevier Science B.V., Amsterdam",2017
,31,Big data and the reform of the European data protection framework: an overview of potential concerns associated with proposals for risk management-based approaches to the concept of personal data,"Pearce, Henry",Taylor & Francis,2017
,32,"Big Data Is `Buzzword du Jour;' CS Academics `Have the Best Job' Michael Stonebraker analyzes the different varieties of Big Data, while Judy Robertson considers the rewards of teaching computer science",unknown,ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
,33,Big data and the legal framework for data quality,"Hoeren, T.",Oxford University Press,2017
,34,"Data quality for data science, predictive analytics, and big data in supply chain management: An introduction to the problem and suggestions for research and applications","Hazen, B. T.; Boone, C. A.; Ezell, J. D.; Jones-Farmer, L. A.","Elsevier Science B.V., Amsterdam.",2014
,35,Big Data Analytics - Sentiment Analysis of Twitter Data using Clustering Techniques (822),"Hutchison, K.; Kumara, S.",Norcross; Institute of Industrial Engineers,2013
,36,"Data, Not Dogma: Big Data, Open Data, and the Opportunities Ahead","Hand, D.J.",SPRINGER-VERLAG,2013
,37,"Data Capture, Labelling, ID and Coding Data capture - not just for the big end of town",unknown,THOMSON PUBLICATIONS AUSTRALIA,2002
,38,Big Data for a Big Country: The First Generation of Canadian Wetland Inventory Map at a Spatial Resolution of 10-m Using Sentinel-1 and Sentinel-2 Data on the Google Earth Engine Cloud Computing Platform,"Mahdianpari, Masoud; Salehi, Bahram; Mohammadimanesh, Fariba; Brisco, Brian; Homayouni, Saeid; Gill, Eric; DeLancey, Evan R.; Bourgeau-Chavez, Laura",Taylor & Francis,2020
,39,Data mining-based big data analytics: parameters and layered framework,"Bhatnagar, V.",Inderscience,2013
